:START_ID(Document),:END_ID(Topic)
d-central/academic-personal/CHOPSHOP/ARCHITECTURE-md.md,chopshop-project-documentation
d-central/academic-personal/CHOPSHOP/CIPHER-MODULE-GUIDE-md.md,chopshop-project-documentation
d-central/academic-personal/CHOPSHOP/CONTRIBUTING-1-md.md,chopshop-project-documentation
d-central/academic-personal/CHOPSHOP/DAY1-QUICKSTART-md.md,chopshop-project-documentation
d-central/academic-personal/CHOPSHOP/DOCUMENTATION-SUMMARY-md.md,chopshop-project-documentation
d-central/academic-personal/CHOPSHOP/EXECUTIVE-SUMMARY-md.md,chopshop-project-documentation
d-central/academic-personal/CHOPSHOP/PHASE1-SPECIFICATION-md.md,chopshop-project-documentation
d-central/academic-personal/CHOPSHOP/PROJECT-CHARTER-md.md,chopshop-project-documentation
d-central/academic-personal/CHOPSHOP/QUICK-START-md.md,chopshop-project-documentation
d-central/academic-personal/CHOPSHOP/README-2-md.md,chopshop-project-documentation
d-central/academic-personal/CHOPSHOP/README-DOCUMENTATION-md.md,chopshop-project-documentation
d-central/academic-personal/CHOPSHOP/ROADMAP-md.md,chopshop-project-documentation
d-central/academic-personal/CHOPSHOP/chopshop-development-guide-md.md,chopshop-project-documentation
d-central/academic-personal/CHOPSHOP/chopshop-phase1-plan-md.md,chopshop-project-documentation
d-central/academic-personal/CHOPSHOP/chopshop-roadmap-md.md,chopshop-project-documentation
d-central/academic-personal/CHOPSHOP/chopshop-technical-architecture-md.md,chopshop-project-documentation
d-central/academic-personal/CHOPSHOP/chopshop-testing-strategy-md.md,chopshop-project-documentation
d-central/academic-personal/Comptia-A/Comptia-A-Master-Platform.md,comptia-a-learning-platform
d-central/academic-personal/Comptia-A/Game-Suite.md,comptia-a-learning-platform
d-central/academic-personal/Comptia-A/marketing-site-html.md,comptia-a-learning-platform
d-central/academic-personal/D-Central-v2/chatgpt-md.md,dcentral-core-narrative-analysis
d-central/business-legal/CivicMesh/Chat-Context-B.md,digital-community-participation-platforms
d-central/business-legal/CivicMesh/DC-CM-B2B-001-Commercial-Vehicle-Network-Programme-v1-docx.md,commercial-b2b-vehicle-fleet-programme
d-central/business-legal/CivicMesh/DC-CM-B2B-002-Fleet-Operator-Agreement-Template-v1-docx.md,commercial-b2b-vehicle-fleet-programme
d-central/business-legal/CivicMesh/DC-CM-B2B-003-Platform-Driver-Programme-Specification-v1-docx.md,commercial-b2b-vehicle-fleet-programme
d-central/business-legal/CivicMesh/DC-STRAT-005-Competitive-Moat-Analysis-v1-docx.md,civicmesh-competitive-analysis
d-central/business-legal/CivicMesh/DC-STRAT-005-Competitive-Moat-Analysis-v1-docx.md,dcentral-competitive-strategy-analysis
d-central/business-legal/CivicMesh/DEPLOY-CS-001-CommunityShield-HOA-Condo-Deployment-v1-docx.md,communityshield-hoa-deployment-package
d-central/business-legal/CivicMesh/DEPLOY-CS-002-CommunityShield-Apartment-Complex-Deployment-v1-docx.md,communityshield-hoa-deployment-package
d-central/business-legal/CivicMesh/DEPLOY-MP-001-MeshPlate-Municipal-Deployment-Package-v1-docx.md,civicmesh-federation-noc-municipal-deployment
d-central/business-legal/CivicMesh/DEPLOY-TM-002-City-Fleet-Expansion-Plan-v1-docx.md,trafficmesh-city-fleet-deployment
d-central/business-legal/CivicMesh/DEPLOY-TM-002-City-Fleet-Expansion-Plan-v1-docx.md,trafficmesh-ottawa-government-engagement
d-central/business-legal/CivicMesh/INV-001-D-Central-Seed-Pre-Seed-Pitch-Deck-v1-docx.md,civicmesh-investor-pitch-decks
d-central/business-legal/CivicMesh/INV-001-D-Central-Seed-Pre-Seed-Pitch-Deck-v1-docx.md,dcentral-presentation-decks
d-central/business-legal/CivicMesh/INV-002-CivicMesh-Deep-Dive-Investor-Deck-v1-docx.md,civicmesh-investor-pitch-decks
d-central/business-legal/CivicMesh/INV-002-CivicMesh-Deep-Dive-Investor-Deck-v1-docx.md,dcentral-presentation-decks
d-central/business-legal/CivicMesh/INV-003-D-Central-Group-One-Pager-v1-docx.md,civicmesh-investor-pitch-decks
d-central/business-legal/CivicMesh/INV-003-D-Central-Group-One-Pager-v1-docx.md,dcentral-presentation-decks
d-central/business-legal/CivicMesh/INV-005-CivicMesh-Competitive-Analysis-v1-docx.md,civicmesh-competitive-analysis
d-central/business-legal/CivicMesh/INV-005-CivicMesh-Competitive-Analysis-v1-docx.md,dcentral-competitive-strategy-analysis
d-central/business-legal/CivicMesh/INV-006-D-Central-Cooperative-Economy-Investor-Thesis-v1-docx.md,dcentral-competitive-strategy-analysis
d-central/business-legal/CivicMesh/IRAP-TM-001-NRC-IRAP-Application-TrafficMesh-v1-docx.md,civicmesh-government-funding-applications
d-central/business-legal/CivicMesh/IRAP-TM-001-NRC-IRAP-Application-TrafficMesh-v1-docx.md,civicmesh-trafficmesh-grant-funding-applications
