path:ID(Document),doc_uuid,dedup_status,category,project
d-central/academic-personal/Algonquin-Courses/MAT8002-Week-1-Preparation-Guide-Decimal-Number-System-md.md,71d6685c-4c5e-457c-b83a-0f6667298756,canonical,academic-personal,Algonquin Courses
d-central/academic-personal/CHOPSHOP/ARCHITECTURE-md.md,a9dda6b1-126e-4263-8a9e-b5880a91fe44,canonical,academic-personal,CHOPSHOP
d-central/academic-personal/CHOPSHOP/CIPHER-MODULE-GUIDE-md.md,3971b0ab-9fc3-4da3-b905-b84758291266,canonical,academic-personal,CHOPSHOP
d-central/academic-personal/CHOPSHOP/CONTRIBUTING-1-md.md,4cb44f3b-3311-4e82-817f-ff134550dfc9,canonical,academic-personal,CHOPSHOP
d-central/academic-personal/CHOPSHOP/DAY1-QUICKSTART-md.md,244a8346-5669-4a97-bcf5-ac400634b5e8,canonical,academic-personal,CHOPSHOP
d-central/academic-personal/CHOPSHOP/DOCUMENTATION-SUMMARY-md.md,168ba004-18d9-4264-9811-f440bda214a5,canonical,academic-personal,CHOPSHOP
d-central/academic-personal/CHOPSHOP/EXECUTIVE-SUMMARY-md.md,b5caca6a-ce68-4e92-9a43-2d5e5aed2be7,canonical,academic-personal,CHOPSHOP
d-central/academic-personal/CHOPSHOP/PHASE1-SPECIFICATION-md.md,be617c34-4cb7-4c97-b383-3526f061e3a0,canonical,academic-personal,CHOPSHOP
d-central/academic-personal/CHOPSHOP/PROJECT-CHARTER-md.md,f7920ff1-4195-4da7-866d-edb6d09674e7,canonical,academic-personal,CHOPSHOP
d-central/academic-personal/CHOPSHOP/QUICK-START-md.md,741794a2-d8dd-456d-a03f-e37bd98da462,canonical,academic-personal,CHOPSHOP
d-central/academic-personal/CHOPSHOP/README-2-md.md,3e59b8a8-7199-4864-9bc4-97c377ec1c84,canonical,academic-personal,CHOPSHOP
d-central/academic-personal/CHOPSHOP/README-DOCUMENTATION-md.md,049a42b6-c414-493f-bdc8-8ca8dd4f973b,canonical,academic-personal,CHOPSHOP
d-central/academic-personal/CHOPSHOP/ROADMAP-md.md,dae2da35-ca3b-4071-ac9e-dd1e0c0377ff,canonical,academic-personal,CHOPSHOP
d-central/academic-personal/CHOPSHOP/SETUP-GUIDE-md.md,1f988f8b-fb02-492c-b9f5-780198adf511,canonical,academic-personal,CHOPSHOP
d-central/academic-personal/CHOPSHOP/_superseded/CONTRIBUTING-md.md,988694c6-01cb-453e-b25b-8fe1e12785a1,superseded,academic-personal,CHOPSHOP
d-central/academic-personal/CHOPSHOP/_superseded/README-md.md,ffe1af1c-22b3-49f1-8654-4cd7a4eca482,superseded,academic-personal,CHOPSHOP
d-central/academic-personal/CHOPSHOP/chopshop-development-guide-md.md,623e83ce-a56f-465e-acdd-c443d93db1cd,canonical,academic-personal,CHOPSHOP
d-central/academic-personal/CHOPSHOP/chopshop-phase1-plan-md.md,d33edf4d-4132-47f2-8336-aa451b53dcea,canonical,academic-personal,CHOPSHOP
d-central/academic-personal/CHOPSHOP/chopshop-roadmap-md.md,5b23ca75-5b78-43a8-9703-702a83b8cb93,canonical,academic-personal,CHOPSHOP
d-central/academic-personal/CHOPSHOP/chopshop-technical-architecture-md.md,d80749d5-a82f-4575-9942-c11a7ad7b0ba,canonical,academic-personal,CHOPSHOP
d-central/academic-personal/CHOPSHOP/chopshop-testing-strategy-md.md,98e7c57c-9645-45eb-8b51-5f905b6bccb8,canonical,academic-personal,CHOPSHOP
d-central/academic-personal/Codegen/Initial-Codebase.md,0475c048-7b6f-494e-8dbb-bb7da3c5d189,canonical,academic-personal,Codegen
d-central/academic-personal/Comptia-A/Comptia-A-Master-Platform.md,b106d37e-c4d9-4b7c-b6a1-8efdd4208b64,canonical,academic-personal,Comptia A+
d-central/academic-personal/Comptia-A/Game-Suite.md,cc6f3244-667c-45d9-be26-4bb1e2c58571,canonical,academic-personal,Comptia A+
d-central/academic-personal/Comptia-A/marketing-site-html.md,e749351b-2820-4fbb-94d3-8ae16c6dfbb1,canonical,academic-personal,Comptia A+
d-central/academic-personal/D-Central-v2/chatgpt-md.md,28cd95c8-ff3f-42bb-81b7-099d0b93330c,canonical,academic-personal,D Central v2
d-central/academic-personal/How-to-use-Claude/Claude-prompting-guide-md.md,09bf2f2a-9420-44f4-a8f4-ce084b304c03,canonical,academic-personal,How to use Claude
d-central/business-legal/CivicMesh/Chat-Context-B.md,7736c544-258a-40e8-a2e5-600e78aff333,canonical,business-legal,CivicMesh
d-central/business-legal/CivicMesh/DC-CM-B2B-001-Commercial-Vehicle-Network-Programme-v1-docx.md,5829461b-4438-4e06-90bb-44fefed21a28,canonical,business-legal,CivicMesh
d-central/business-legal/CivicMesh/DC-CM-B2B-002-Fleet-Operator-Agreement-Template-v1-docx.md,c71439d1-df50-4824-92f1-8cd85bbde498,canonical,business-legal,CivicMesh
d-central/business-legal/CivicMesh/DC-CM-B2B-003-Platform-Driver-Programme-Specification-v1-docx.md,6941cbfd-0e23-49ca-a77a-491d9166ce7c,canonical,business-legal,CivicMesh
d-central/business-legal/CivicMesh/DC-CM-MSSP-CERT-001-MSSP-Certification-Programme-v1-docx.md,b958d51b-aad4-4975-bcef-6c532ab44835,canonical,business-legal,CivicMesh
d-central/business-legal/CivicMesh/DC-STRAT-005-Competitive-Moat-Analysis-v1-docx.md,baa0a686-d21f-44ff-a70c-ba400ebcdacf,canonical,business-legal,CivicMesh
d-central/business-legal/CivicMesh/DEPLOY-CS-001-CommunityShield-HOA-Condo-Deployment-v1-docx.md,ca249c48-b7b1-49b0-9598-47d5694b58ba,canonical,business-legal,CivicMesh
d-central/business-legal/CivicMesh/DEPLOY-CS-002-CommunityShield-Apartment-Complex-Deployment-v1-docx.md,9a482b40-2de3-4bc8-914e-7ef363fff356,canonical,business-legal,CivicMesh
d-central/business-legal/CivicMesh/DEPLOY-MP-001-MeshPlate-Municipal-Deployment-Package-v1-docx.md,c611eab1-3cd0-4698-a359-171a559c0b86,canonical,business-legal,CivicMesh
d-central/business-legal/CivicMesh/DEPLOY-TM-002-City-Fleet-Expansion-Plan-v1-docx.md,d0b0b450-9ceb-438a-b0c8-7b3d000ad862,canonical,business-legal,CivicMesh
d-central/business-legal/CivicMesh/FIN-CM-001-Founder-Cash-Flow-Model-v1-docx.md,78711631-24ae-44ee-b947-5fa564b6115f,canonical,business-legal,CivicMesh
d-central/business-legal/CivicMesh/INV-001-D-Central-Seed-Pre-Seed-Pitch-Deck-v1-docx.md,2854443c-cb2b-4429-82cc-0a42f1a2fb86,canonical,business-legal,CivicMesh
