:START_ID(Document),:END_ID(Document),reason
d-central/academic-personal/CHOPSHOP/_superseded/CONTRIBUTING-md.md,d-central/academic-personal/CHOPSHOP/CONTRIBUTING-1-md.md,duplicate_of
d-central/academic-personal/CHOPSHOP/_superseded/README-md.md,d-central/academic-personal/CHOPSHOP/README-2-md.md,duplicate_of
d-central/business-legal/D-Central-Business-User-Application/_superseded/Mesh-Network-Business-Pitch-Stakeholder-Presentation-Template-md-c3e6da8b.md,d-central/business-legal/D-Central-Business-User-Application/Mesh-Network-Business-Pitch-Stakeholder-Presentation-Template-md.md,duplicate_of
d-central/business-legal/D-Central-Hardware-Software-Tech-Stack/_superseded/compass-artifact-wf-af3ab4ca-b286-41e2-992f-574eff3ea5fa-text-markdown-md.md,d-central/business-legal/D-Central-Business-User-Application/Comprehensive-Cost-Analysis-for-Open-Source-Mesh-Network-Development-md.md,duplicate_of
d-central/business-legal/D-Central-x-OBCC/_superseded/community-first-strategy-md.md,d-central/business-legal/D-Central-Live-Development/community-first-strategy-md.md,duplicate_of
d-central/business-legal/D-Central-x-OBCC/_superseded/compass-artifact-wf-af3ab4ca-b286-41e2-992f-574eff3ea5fa-text-markdown-md.md,d-central/business-legal/D-Central-Business-User-Application/Comprehensive-Cost-Analysis-for-Open-Source-Mesh-Network-Development-md.md,duplicate_of
d-central/business-legal/D-Central-x-OBCC/_superseded/mesh-onboarding-playbook-md.md,d-central/business-legal/D-Central-Business-User-Application/Mesh-Network-Business-Onboarding-Playbook-90-Day-Value-Capture-Guide-md.md,duplicate_of
d-central/business-legal/D-Central/_superseded/D-Central-x-OBCC-Complete-Master-Implementation-Plan-md-e5486498.md,d-central/business-legal/D-Central/D-Central-x-OBCC-Complete-Master-Implementation-Plan-md.md,duplicate_of
d-central/business-legal/Local-Fediverse/_superseded/Academic-Institution-Specific-ROI-Value-Propositions-md-b8b972f8.md,d-central/business-legal/Local-Fediverse/Academic-Institution-Specific-ROI-Value-Propositions-md.md,duplicate_of
d-central/business-legal/Local-Fediverse/_superseded/Enhanced-Value-Added-Services-for-Academic-Institutions-md-78b65e96.md,d-central/business-legal/Local-Fediverse/Enhanced-Value-Added-Services-for-Academic-Institutions-md.md,duplicate_of
d-central/business-legal/Open-Vision/_superseded/02-Business-Case-ROI-md.md,d-central/business-legal/IHOSE/02-Business-Case-ROI-md.md,duplicate_of
d-central/business-legal/Open-Vision/_superseded/06-Implementation-Roadmap-md.md,d-central/business-legal/IHOSE/06-Implementation-Roadmap-md.md,duplicate_of
d-central/business-legal/Open-Vision/_superseded/08-Ecosystem-Business-Models-md.md,d-central/business-legal/IHOSE/08-Ecosystem-Business-Models-md.md,duplicate_of
d-central/business-legal/Open-Vision/_superseded/BUSINESS-PRESENTATION-md.md,d-central/business-legal/IHOSE/BUSINESS-PRESENTATION-md.md,duplicate_of
d-central/business-legal/Open-Vision/_superseded/IMPROVEMENT-RECOMMENDATIONS-md.md,d-central/business-legal/IHOSE/IMPROVEMENT-RECOMMENDATIONS-md.md,duplicate_of
d-central/core/economics/D-Central-x-OBCC/_superseded/mesh-web3-combos-md.md,d-central/core/economics/D-Central-Business-User-Application/Mesh-Web3-Revenue-Combination-Strategies-Maximum-Value-Extraction-md.md,duplicate_of
d-central/core/economics/Federated-System-Integration/_superseded/comprehensive-trades-cooperative-analysis-md.md,d-central/core/economics/Local-Fediverse/comprehensive-trades-cooperative-analysis-md.md,duplicate_of
d-central/core/governance/Bounty/_superseded/The-Future-of-Community-Intelligence-A-Platform-for-Democratic-Safety-and-Prospe-0d4033e6.md,d-central/core/governance/Bounty/The-Future-of-Community-Intelligence-A-Platform-for-Democratic-Safety-and-Prospe.md,duplicate_of
d-central/core/identity/Drone-Zoe/_superseded/Drone-Zoe-Haiti-Decentralized-Open-Credentialing-System-md-b1557673.md,d-central/core/identity/Drone-Zoe/Drone-Zoe-Haiti-Decentralized-Open-Credentialing-System-md.md,duplicate_of
d-central/core/identity/Open-Secure/_superseded/OS-DRONE-Decentralized-Identity-VC-md-1119f649.md,d-central/core/identity/Open-Secure/OS-DRONE-Decentralized-Identity-VC-md.md,duplicate_of
d-central/haiti-diaspora/Drone-Zoe/_superseded/Comprehensive-Democratized-Development-Framework-for-Haiti-md-69464cae.md,d-central/haiti-diaspora/Drone-Zoe/Comprehensive-Democratized-Development-Framework-for-Haiti-md-735f60aa.md,duplicate_of
d-central/haiti-diaspora/Haiti-open-framework/_superseded/2-3-1-Government-of-Haiti-Recommendations-Complete-Integrated-Cooperative-Framew-56b1d80d.md,d-central/haiti-diaspora/Haiti-open-framework/2-3-1-Government-of-Haiti-Recommendations-Complete-Integrated-Cooperative-Framew.md,duplicate_of
d-central/hardware/sensing-planes/Open-Vision/_superseded/02-Hardware-Specifications-docx.md,d-central/hardware/sensing-planes/IHOSE/02-Hardware-Specifications-docx.md,duplicate_of
d-central/hardware/sensing-planes/Open-Vision/_superseded/05-Hardware-Specifications-md.md,d-central/hardware/sensing-planes/IHOSE/05-Hardware-Specifications-md.md,duplicate_of
d-central/hardware/sensing-planes/Open-Vision/_superseded/HARDWARE-BOM-md.md,d-central/hardware/sensing-planes/IHOSE/HARDWARE-BOM-md.md,duplicate_of
d-central/hardware/sensing-planes/Open-Vision/_superseded/bom-enterprise-md.md,d-central/hardware/sensing-planes/IHOSE/bom-enterprise-md.md,duplicate_of
d-central/meta/platform-scaffolding/Bounty/_superseded/DION-Platform-Complete-Technical-Architecture-Implementation-Guide-md-be07d14c.md,d-central/meta/platform-scaffolding/Bounty/DION-Platform-Complete-Technical-Architecture-Implementation-Guide-md.md,duplicate_of
d-central/meta/platform-scaffolding/D-Central-x-OBCC/_superseded/comprehensive-mesh-tech-stack-md.md,d-central/meta/platform-scaffolding/D-Central-Hardware-Software-Tech-Stack/Comprehensive-Mesh-Network-Tech-Stack-for-Business-Integration-Ecosystem-md.md,duplicate_of
d-central/meta/status-tracking/Open-Vision/_superseded/DELIVERY-SUMMARY-md.md,d-central/meta/status-tracking/IHOSE/DELIVERY-SUMMARY-md.md,duplicate_of
d-central/meta/status-tracking/Open-Vision/_superseded/PROJECT-SUMMARY-md.md,d-central/meta/status-tracking/IHOSE/PROJECT-SUMMARY-md.md,duplicate_of
d-central/meta/status-tracking/Open-Vision/_superseded/QUICK-START-md.md,d-central/meta/status-tracking/IHOSE/QUICK-START-md.md,duplicate_of
d-central/meta/status-tracking/Open-Vision/_superseded/START-HERE-md.md,d-central/meta/status-tracking/IHOSE/START-HERE-md.md,duplicate_of
d-central/security/Open-Secure/_superseded/OS-DRONE-Advanced-Visual-Intelligence-md-8b95b2da.md,d-central/security/Open-Secure/OS-DRONE-Advanced-Visual-Intelligence-md.md,duplicate_of
d-central/security/Open-Secure/_superseded/OS-DRONE-Advanced-Visual-Intelligence-md-f48e2964.md,d-central/security/Open-Secure/OS-DRONE-Advanced-Visual-Intelligence-md.md,duplicate_of
d-central/security/Open-Secure/_superseded/OS-GUARDIAN-Technical-Architecture-md-5f9cc193.md,d-central/security/Open-Secure/OS-GUARDIAN-Technical-Architecture-md.md,duplicate_of
d-central/security/Open-Secure/_superseded/OpenSecure-Digital-Twin-Integration-md-c27670ed.md,d-central/security/Open-Secure/OpenSecure-Digital-Twin-Integration-md.md,duplicate_of
d-central/security/Open-Secure/_superseded/OpenSecure-Hub-Implementation-Guide-md-b7cfc789.md,d-central/security/Open-Secure/OpenSecure-Hub-Implementation-Guide-md.md,duplicate_of
d-central/security/Open-Secure/_superseded/OpenSecure-Hub-Logical-Topology-md-5ea74085.md,d-central/security/Open-Secure/OpenSecure-Hub-Logical-Topology-md.md,duplicate_of
d-central/security/Open-Secure/_superseded/OpenSecure-Hub-Network-Topology-md-e8ce77ac.md,d-central/security/Open-Secure/OpenSecure-Hub-Network-Topology-md.md,duplicate_of
d-central/security/Open-Vision/_superseded/00-Quick-Start-Guide-md.md,d-central/security/IHOSE/00-Quick-Start-Guide-md.md,duplicate_of
d-central/security/Open-Vision/_superseded/01-Executive-Summary-md.md,d-central/security/IHOSE/01-Executive-Summary-md.md,duplicate_of
d-central/security/Open-Vision/_superseded/01-OpenVision-Architecture-docx.md,d-central/security/IHOSE/01-OpenVision-Architecture-docx.md,duplicate_of
d-central/security/Open-Vision/_superseded/03-Module-Development-Guide-docx.md,d-central/security/IHOSE/03-Module-Development-Guide-docx.md,duplicate_of
d-central/security/Open-Vision/_superseded/03-Technical-Architecture-md.md,d-central/security/IHOSE/03-Technical-Architecture-md.md,duplicate_of
d-central/security/Open-Vision/_superseded/04-Enterprise-Deployment-md.md,d-central/security/IHOSE/04-Enterprise-Deployment-md.md,duplicate_of
d-central/security/Open-Vision/_superseded/04-docker-compose-yml.md,d-central/security/IHOSE/04-docker-compose-yml.md,duplicate_of
d-central/security/Open-Vision/_superseded/05-kubernetes-manifests-yml.md,d-central/security/IHOSE/05-kubernetes-manifests-yml.md,duplicate_of
d-central/security/Open-Vision/_superseded/06-Complete-Deployment-Guide-docx.md,d-central/security/IHOSE/06-Complete-Deployment-Guide-docx.md,duplicate_of
d-central/security/Open-Vision/_superseded/07-Use-Cases-Integration-md.md,d-central/security/IHOSE/07-Use-Cases-Integration-md.md,duplicate_of
d-central/security/Open-Vision/_superseded/DEPLOYMENT-GUIDE-md.md,d-central/security/IHOSE/DEPLOYMENT-GUIDE-md.md,duplicate_of
d-central/security/Open-Vision/_superseded/EXECUTIVE-SUMMARY-md.md,d-central/security/IHOSE/EXECUTIVE-SUMMARY-md.md,duplicate_of
d-central/security/Open-Vision/_superseded/README-md.md,d-central/security/IHOSE/README-md.md,duplicate_of
d-central/security/Open-Vision/_superseded/TECHNICAL-ARCHITECTURE-md.md,d-central/security/IHOSE/TECHNICAL-ARCHITECTURE-md.md,duplicate_of
d-central/security/Open-Vision/_superseded/core-stack-yml.md,d-central/security/IHOSE/core-stack-yml.md,duplicate_of
d-central/security/Open-Vision/_superseded/development-md.md,d-central/security/IHOSE/development-md.md,duplicate_of
d-central/security/Open-Vision/_superseded/enterprise-md.md,d-central/security/IHOSE/enterprise-md.md,duplicate_of
d-central/security/Open-Vision/_superseded/install-sh.md,d-central/security/IHOSE/install-sh.md,duplicate_of
d-central/security/Open-Vision/_superseded/overview-md.md,d-central/security/IHOSE/overview-md.md,duplicate_of
d-central/verticals/social-comm/Local-Fediverse/_superseded/Enhanced-Academic-Institutional-Onboarding-Activation-Platform-md-b3518b7f.md,d-central/verticals/social-comm/Local-Fediverse/Enhanced-Academic-Institutional-Onboarding-Activation-Platform-md.md,duplicate_of
d-central/verticals/social-comm/Local-Fediverse/_superseded/FediFlow-Academic-Ecosystem-Comprehensive-Community-Services-Use-Cases-md-d17d147c.md,d-central/verticals/social-comm/Local-Fediverse/FediFlow-Academic-Ecosystem-Comprehensive-Community-Services-Use-Cases-md.md,duplicate_of
d-central/verticals/social-comm/Local-Fediverse/_superseded/FediFlow-Enterprise-Complete-Ecosystem-Architecture-Strategy-md-20452601.md,d-central/verticals/social-comm/Local-Fediverse/FediFlow-Enterprise-Complete-Ecosystem-Architecture-Strategy-md.md,duplicate_of
